"2024-01-01",0
"2024-01-02",25
"2024-01-03",0
"2024-01-04",5
"2024-01-05",0
"2024-01-06",2
"2024-01-07",0
"2024-01-08",4
"2024-01-09",3
"2024-01-10",9
"2024-01-11",10
"2024-01-12",0
"2024-01-13",1
"2024-01-14",1
"2024-01-15",4
"2024-01-16",4
"2024-01-17",13
"2024-01-18",1
"2024-01-19",10
"2024-01-20",2
"2024-01-21",0
"2024-01-22",10
"2024-01-23",2
"2024-01-24",4
"2024-01-25",6
"2024-01-26",15
"2024-01-27",10
"2024-01-28",13
"2024-01-29",47
"2024-01-30",29
"2024-01-31",47
"2024-02-01",25
"2024-02-02",46
"2024-02-03",0
"2024-02-04",1
"2024-02-05",35
"2024-02-06",48
"2024-02-07",16
"2024-02-08",28
"2024-02-09",24
"2024-02-10",0
"2024-02-11",0
"2024-02-12",22
"2024-02-13",18
"2024-02-14",32
"2024-02-15",36
"2024-02-16",32
"2024-02-17",0
"2024-02-18",0
"2024-02-19",35
"2024-02-20",37
"2024-02-21",16
"2024-02-22",4
"2024-02-23",7
"2024-02-24",2
"2024-02-25",0
"2024-02-26",16
"2024-02-27",10
"2024-02-28",14
"2024-02-29",34
"2024-03-01",49
"2024-03-02",0
"2024-03-03",2
"2024-03-04",9
"2024-03-05",35
"2024-03-06",26
"2024-03-07",25
"2024-03-08",9
"2024-03-09",0
"2024-03-10",0
"2024-03-11",0
"2024-03-12",3
"2024-03-13",12
"2024-03-14",16
"2024-03-15",8
"2024-03-16",0
"2024-03-17",0
"2024-03-18",13
"2024-03-19",3
"2024-03-20",7
"2024-03-21",0
"2024-03-22",16
"2024-03-23",0
"2024-03-24",0
"2024-03-25",5
"2024-03-26",0
"2024-03-27",5
"2024-03-28",8
"2024-03-29",7
"2024-03-30",0
"2024-03-31",0
"2024-04-01",3
"2024-04-02",14
"2024-04-03",0
"2024-04-04",22
"2024-04-05",17
"2024-04-06",0
"2024-04-07",0
"2024-04-08",10
"2024-04-09",29
